pealkiri;nimetus
Äriseadustik1;Päringute sooritamine äriregistri teabesüsteemis
Äriseadustik1;Äriregistri XML teenus
Äriseadustik1;Andmevahetus ning päringud äriregistrist ametiasutustele
Vanglate osakonna põhimäärus;Teabenõuete esitamine
Vanglate osakonna põhimäärus;Andmete edastamine saatkondadele
Vanglate osakonna põhimäärus;Andmete edastamine Statistikaametile
Vanglate osakonna põhimäärus;Päringu tegemine karistuse kandmise koha info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine nimeosa kaudu kinnipeetavani jõudmiseks
Vanglate osakonna põhimäärus;Päringu tegemine eritunnuse kaudu kinnipeetavani jõudmiseks
Vanglate osakonna põhimäärus;Päringu tegemine kambri ja perioodi kaudu kinnipeetavani jõudmiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava(te) vanglast järelvalveta väljaskäimiste info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava kaudu kontaktis olnud isikuni jõudmiseks
Vanglate osakonna põhimäärus;Päringu tegemine kontaktis olnud isiku ja kontakti perioodi kaudu kinnipeetavani jõudmiseks
Vanglate osakonna põhimäärus;Päringu tegemine perioodil vabanenud või kinnipidamisel olnud kinnipeetavate info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava andmete info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava põhiandmete info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava tööhõive info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava kinnipidamiselt vabanemise info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava karistuse lõppemise info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetavale kohaldatud distsiplinaarkaristuste info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava isiklike dokumentide info saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava fotode saamiseks
Vanglate osakonna põhimäärus;Päringu tegemine kinnipeetava suhete info saamiseks
Vanglate osakonna põhimäärus;Andmete edastamine lepingute raames
Tsiviilkohtumenetluse seadustik1;Maksekäsu kiirmenetluse XML-teenus
Kohtule dokumentide esitamise kord1;Maksekäsu kiirmenetluse XML-teenus
E-toimiku süsteemi asutamine ja e-toimiku süsteemi pidamise põhimäärus;Päringute sooritamine e-toimiku avalikus liideses
Tsiviilkohtumenetluse seadustik1;Päringute sooritamine e-toimiku avalikus liideses
Kriminaalmenetluse seadustik1;Päringute sooritamine e-toimiku avalikus liideses
Väärteomenetluse seadustik;Päringute sooritamine e-toimiku avalikus liideses
Halduskohtumenetluse seadustik;Päringute sooritamine e-toimiku avalikus liideses
Kohtule dokumentide esitamise kord1;Dokumendi esitamine tsiviilkohtu-, halduskohtu-, kriminaal- ja väärteomenetlusse
Kriminaalmenetluse seadustik1;Menetlusdokumentide kättetoimetamine e-toimiku vahendusel
Tsiviilkohtumenetluse seadustik1;Menetlusdokumentide kättetoimetamine e-toimiku vahendusel
Halduskohtumenetluse seadustik;Menetlusdokumentide kättetoimetamine e-toimiku vahendusel
Väärteomenetluse seadustik;Menetlusdokumentide kättetoimetamine e-toimiku vahendusel
Maa-, haldus- ja ringkonnakohtu kantselei kodukord;Menetlusdokumentide kättetoimetamine e-toimiku vahendusel
Korruptsioonivastane seadus;Huvide deklaratsioon
Huvide deklaratsioonide registri põhimäärus;Huvide deklaratsioon
Riikliku kriminaalmenetlusregistri asutamine ja registri pidamise põhimäärus;Kriminaalmenetluse kohtueelse ja kohtumenetluse andmete hoidmine
Rahvastikuregistri seadus;Abielu registreerimine
Perekonnaseadus;Abielu registreerimine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Nimeseadus;Nime muutmine
Riigilõivuseadus;Nime muutmine
Rahvastikuregistri seadus;Nime muutmine
Rahvastikuregistri seadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Nimeseadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Andmete muutmine
Nimeseadus;Andmete muutmine
Perekonnaseadus;Andmete muutmine
Rahvastikuregistri seadus;Andmete muutmine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Nimeseadus;Abielu lahutamine
Perekonnaseadus;Abielu lahutamine
Rahvastikuregistri seadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Rahvastikuregistri seadus;Perekonnaseisutõendite väljastamine
Perekonnaseadus;Perekonnaseisutõendite väljastamine
Perekonnaseisutoimingute seadus;Perekonnaseisutõendite väljastamine
Perekonnaseisutoimingute seadus;Abieluvõime tõendi väljastamine
Perekonnaseisutoimingute seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Rahvastikuregistri seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Tsiviilkohtumenetluse seadustik;Lapsendamine
Perekonnaseadus;Lapsendamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
Maa ostueesõigusega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
Maa enampakkumisega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
Maareformi seadus;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
Maareformi seadus;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
Maa ostueesõigusega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
Maa enampakkumisega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
Maareformi seadus;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
Maa enampakkumisega erastamise korra kinnitamine;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
Maa ostueesõigusega erastamise korra kinnitamine;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
Maareformi käigus kasutusvaldusesse antud maa omandamise seadus;Kasutusvaldusesse antud maa omandamine
Maareformi seadus;Kasutusvaldusesse antud maa omandamine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Rahvastikuregistri seadus;Abielu registreerimine
Perekonnaseadus;Abielu registreerimine
Nimeseadus;Nime muutmine
Rahvastikuregistri seadus;Nime muutmine
Riigilõivuseadus;Nime muutmine
Rahvastikuregistri seadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Nimeseadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Perekonnaseisutoimingute seadus;Andmete parandamine ja muutmine
Perekonnaseadus;Andmete parandamine ja muutmine
Rahvastikuregistri seadus;Andmete parandamine ja muutmine
Nimeseadus;Andmete parandamine ja muutmine
Perekonnaseadus;Surma registreerimine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Perekonnaseadus;Abielu lahutamine
Rahvastikuregistri seadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Nimeseadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Perekonnaseisutõendite väljastamine
Nimeseadus;Perekonnaseisutõendite väljastamine
Rahvastikuregistri seadus;Perekonnaseisutõendite väljastamine
Perekonnaseisutoimingute seadus;Abieluvõime tõendi väljastamine
Rahvastikuregistri seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Perekonnaseisutoimingute seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Tsiviilkohtumenetluse seadustik;Lapsendamine
Perekonnaseadus;Lapsendamine
Sotsiaalministri 15. jaanuari 2009. a määruse nr 8 „Lapsehoiuteenuse ja asenduskoduteenuse ning erihoolekandeteenuste tegevusloa vormi ja taotlemisel nõutavate dokumentide loetelu kehtestamine” muutmine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Lapsehoiuteenuse ja asenduskoduteenuse tegevusloa taotluse vormi kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Lapsehoiuteenuse ja asenduskoduteenuse ning erihoolekandeteenuste tegevusloa taotluse vormi ja taotlemisel nõutavate dokumentide loetelu kehtestamine;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Sotsiaalhoolekande seadus;Asenduskoduteenuse või lapsehoiuteenuse tegevusloa väljastamine
Sotsiaalhoolekande seadus;Vaiete lahendamine sotsiaalteenuste valdkonnas
Haldusmenetluse seadus;Vaiete lahendamine sotsiaalteenuste valdkonnas
Alaealiste komisjoni põhimääruse kinnitamine;Alaealiste komisjon
Alaealise mõjutusvahendite seadus;Alaealiste komisjon
Maa ostueesõigusega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
Maareformi seadus;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
Maa enampakkumisega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud võlakohustuste ülevõtmise kohta
Maa enampakkumisega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
Maareformi seadus;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
Maa ostueesõigusega erastamise korra kinnitamine;Avalduste läbivaatamine riigi kasuks seatud hüpoteegiga koormatud kinnistu jagamiseks
Maa enampakkumisega erastamise korra kinnitamine;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
Maareformi seadus;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
Maa ostueesõigusega erastamise korra kinnitamine;Pöördumiste töötlemine riigi kasuks seatud hüpoteegi kustutamiseks
Kinnisasja omandamise kitsendamise seadus;Kinnisasja omandamine
Maareformi seadus;Kasutusvaldusesse antud maa omandamine
Maareformi käigus kasutusvaldusesse antud maa omandamise seadus;Kasutusvaldusesse antud maa omandamine
“Maareformi seaduse” § 31 lõikes 2 nimetatud maa ajutiseks kasutamiseks andmise kord;Riigi omandis oleva maa ajutiseks kasutamiseks andmine
Maareformi seadus;Riigi omandis oleva maa ajutiseks kasutamiseks andmine
Maa ostueesõigusega erastamise korra kinnitamine;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
Maa enampakkumisega erastamise korra kinnitamine;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
Maareformi seadus;Maa väljaostuvõla kustutamine ja müügihinna vähendamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
Konkurentsiseadus;Raudteeseaduse tegevuslubade taotlemine
Konkurentsiseadus;Elektrituruseaduse tegevuslubade taotlemine
Konkurentsiseadus;Gaasiettevõtja tegevusloa taotlemine
Konkurentsiseadus;Soojusettevõtja tegevuslubade taotlemine
Konkurentsiseadus;Postiteenuse tegevusloa taotlemine
Konkurentsiseadus;Vee hinna kooskõlastamine
Konkurentsiseadus;Soojuse hinna kooskõlastamine
Konkurentsiseadus;Elektri hinna kooskõlastamine
Konkurentsiseadus;Maagaasi hinna kooskõlastamine
Konkurentsiameti põhimäärus;Turuanalüüside küsimustikud
Konkurentsiameti põhimäärus;Teabenõue Konkurentsiametile
Kaitseministeeriumi põhimäärus;Kaitseministeeriumi kaitsetööstuse arendustegevuse toetuse taotlemine
Avaliku teabe seadus;Teabenõue Kaitseministeeriumile
Kaitseministeeriumi põhimäärus;Praktikakoha taotlemine
Kaitseministeeriumi põhimäärus;Küsimuste ja ettepanekute esitamine
Maapõueseadus1;Maapõue seisundit ja kasutamist mõjutava püsiva iseloomuga tegevuse loa väljastamine
Üldgeoloogilise uurimistöö ja geoloogilise uuringu aruande esitamise ning läbivaatamise kord;Maavaravaru arvele võtmine või mahakandmine keskkonnaregistrist
Ohtlike jäätmete saatekirja vorm ning saatekirja koostamise, edastamise ja registreerimise kord1;Ohtlike jäätmete saatekirja koostamine
Keskkonnamõju hindamise ja keskkonnajuhtimissüsteemi seadus;Keskkonnamõju hindamise (KMH) litsentsi taotlemine
Välisõhu kaitse seadus1;Interaktiivne Eesti välisõhu kvaliteedi kaart
Kalapüügiseadus;Harrastuskalapüügiõiguse andmine
Kalapüügiseadus;Eripüügiloa väljastamine
Kalapüügiseadus;Kalade asustamisloa väljastamine
Kalapüügiseadus;Elektripüügivahendi tõendi väljastamine
Välisõhu kaitse seadus1;Kasvuhoonegaaside heitkoguse ühikutega kauplemise register
Kasvuhoonegaaside heitkoguste ühikutega kauplemise kord1;Kasvuhoonegaaside heitkoguse loa taotlemine
Kasvuhoonegaaside heitkoguste ühikutega kauplemise kord1;Kasvuhoonegaaside (KHG) heitkoguse aruandluse (sh tõendamisaruande) esitamine
Fluoritud kasvuhoonegaaside käitlemise ja aruandluse kord, aruannete vormid ning käitlemise kohta andmeid koondavate asutuste loetelu;Fluoritud kasvuhoonegaaside aruannete esitamine
Välisõhu kaitse seadus1;Paikse saasteallika või õhusõiduki käitaja seiremeetodite parandusaruande esitamine
Välisõhu kaitse seadus1;Paikse saasteallika või õhusõiduki käitaja seirekava esitamine
Elektri tootmise eest perioodil 2013–2019 tasuta eraldatavate lubatud heitkoguse ühikute kasutamise tingimused ja kord;Elektritootjatele tasuta ühikute eraldamine ja aruandlus
Kasvuhoonegaaside heitkoguste ühikutega kauplemise kord1;Paikse saasteallika käitaja iga-aastane aruandlus käitises toimunud muudatuste kohta
Looduskaitseseadus1;CITES lubade menetlemine
Veeseadus1;Vee erikasutusloa väljastamine
Veeseadus1;Hüdrogeoloogiliste tööde tegevusloa taotlemine ja lubade omanike aruandlus
Atesteerimisele kuuluvad proovivõtuvaldkonnad, proovivõtjale esitatavad nõuded, proovivõtja atesteerimise kord, atesteerimistunnistuse vorm ning proovivõtja atesteerimiskomisjoni töökord[RT I, 18.08.2011, 1 - jõust. 21.08.2011] ;Veeproovivõtjate atesteerimine
Avaliku teabe seadus;Teabenõue Keskkonnaministeeriumile
Kohaliku omavalitsuse korralduse seadus;Kaebuste esitamine keeleinspektsioonile
Kohanimeseadus;Kaebuste esitamine keeleinspektsioonile
Keeleseadus;Kaebuste esitamine keeleinspektsioonile
Ametniku, töötaja ning füüsilisest isikust ettevõtja eesti keele oskuse ja kasutamise nõuded[RT I, 23.04.2013, 9 - jõust. 26.04.2013] ;Kaebuste esitamine keeleinspektsioonile
Kohaliku omavalitsuse korralduse seadus;Riikliku järelvalve teostamine keeleseaduse täitmise kohta
Keeleseadus;Riikliku järelvalve teostamine keeleseaduse täitmise kohta
Ametniku, töötaja ning füüsilisest isikust ettevõtja eesti keele oskuse ja kasutamise nõuded[RT I, 23.04.2013, 9 - jõust. 26.04.2013] ;Riikliku järelvalve teostamine keeleseaduse täitmise kohta
Kohaliku omavalitsuse korralduse seadus;Keeleseadusest tulenevate õiguste ja kohustuste tutvustamine kodanikule
Keeleseadus;Keeleseadusest tulenevate õiguste ja kohustuste tutvustamine kodanikule
Kohanimeseadus;Keeleseadusest tulenevate õiguste ja kohustuste tutvustamine kodanikule
Ametniku, töötaja ning füüsilisest isikust ettevõtja eesti keele oskuse ja kasutamise nõuded[RT I, 23.04.2013, 9 - jõust. 26.04.2013] ;Keeleseadusest tulenevate õiguste ja kohustuste tutvustamine kodanikule
Kohanimeseadus;Tänavasiltide ja kohanimede kontrollimine
Keeleseadus;Avaliku teabe ja reklaamide monitoorimine
Keeleseadus;Teabenõude esitamine
Keeleseadus;Kaebuste esitamine
Keeleseadus;Keelefirmade tegevuslubade hindamine
Veeseadus1;Veekaitsevööndis tööde kooskõlastamine
Planeerimisseadus;Planeeringute kooskõlastamine
Metsaseadus1;Metsakaitseekspertiisi tellimine
Kultiveerimismaterjali sertifitseeritavate liikide loetelu, sertifitseerimise kord ning sertifitseerimist või kontrollimist kinnitavate dokumentide sisu nõuded1;Metsapuude istutusmaterjali sertifitseerimine
Kultiveerimismaterjali sertifitseeritavate liikide loetelu, sertifitseerimise kord ning sertifitseerimist või kontrollimist kinnitavate dokumentide sisu nõuded1;Metsapuude seemnepartii sertifitseerimine
Jahiseadus;Jahiulukite tehiskeskkonnas hoidmise koha registreerimine
Metsaseadus1;Metsateatise esitamine
Keskkonnaregistri seadus;Keskkonnaregister
Keskkonnamõju hindamise ja keskkonnajuhtimissüsteemi seadus1;EL keskkonnajuhtimis- ja -auditeerimissüsteemi juurutanud organisatsioonide registreerimine
Keskkonnajuhtimis- ja keskkonnaauditeerimissüsteemi registreerimistunnistuses sisalduvate andmete loetelu ja tunnistuse vorm ning tunnistust andma pädeva asutuse määramine[RT I, 29.07.2011, 1 - jõust. 01.08.2011] ;EL keskkonnajuhtimis- ja -auditeerimissüsteemi juurutanud organisatsioonide registreerimine
Keskkonnamõju hindamise ja keskkonnajuhtimissüsteemi seadus1;EL ökomärgise taotlemine
Riigilõivuseadus;EL ökomärgise taotlemine
Avaliku teabe seadus;Teabenõue Keskkonnaagentuurile
Avaliku teabe seadus;Teabenõue dokumendiregistrist
Avaliku teabe seadus1;Ülevaade Eesti looduskaitsest
Avaliku teabe seadus1;Ülevaade Eesti looduskaitsest
